label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,045_neg_Cohort_1_1,046_neg_Cohort_1_2,047_neg_Cohort_1_3,048_neg_Cohort_1_4,049_neg_Cohort_1_5,053_neg_Cohort_2_1,054_neg_Cohort_2_2,055_neg_Cohort_2_3,056_neg_Cohort_2_4,057_neg_Cohort_2_5,058_neg_Cohort_2_6,061_neg_Cohort_3_1,062_neg_Cohort_3_2,063_neg_Cohort_3_3,064_neg_Cohort_3_4,065_neg_Cohort_3_5,066_neg_Cohort_3_6,069_neg_Cohort_4_1,070_neg_Cohort_4_2,071_neg_Cohort_4_3,072_neg_Cohort_4_4,073_neg_Cohort_4_5,074_neg_Cohort_4_6,077_neg_Cohort_5_1,078_neg_Cohort_5_2,079_neg_Cohort_5_3
g,295,295,29,273.001312,6.648,0.838028,,6-Phospho-2-dehydro-D-gluconate,C01218,C6H11O10P,-1,1.453209,273.001312,1374437.38,1000500.38,1265944.38,1239901.62,1381474.12,1009276.5,880698.81,1039213.69,1226465.12,1319752,974855.62,721680.56,710822.19,713529.81,866600.19,837385.31,571386.88,565889.94,611767.94,609882.81,641481,724999.19,576535.12,998044.88,1082050.5,880401.56
g,298,298,29,273.001312,6.648,0.838028,,D-Glucuronate 1-phosphate,C05385,C6H11O10P,-1,1.453209,273.001312,1374437.38,1000500.38,1265944.38,1239901.62,1381474.12,1009276.5,880698.81,1039213.69,1226465.12,1319752,974855.62,721680.56,710822.19,713529.81,866600.19,837385.31,571386.88,565889.94,611767.94,609882.81,641481,724999.19,576535.12,998044.88,1082050.5,880401.56
g,299,299,4,273.002869,5.355,0.830374,,D-Glucuronate 1-phosphate,C05385,C6H11O10P,-1,4.247841,273.002869,0,0,2200.46,0,2169.31,2504.42,0,0,1968.76,0,2122.89,0,0,0,2466.9,0,1325.54,1486.61,0,4180.8,2556.67,0,4826.33,42065.13,41635.28,19094.13
g,301,301,14,866.117676,7.675,0.838757,,(S)-Methylmalonyl-CoA,C00683,C25H40N7O19P3S,-1,7.258339,866.117676,48052.66,46158.32,50553.97,38219.32,29519.29,83515.83,75883.63,65000.36,48836.96,60791.78,41371.38,66490.01,72218.05,58258.14,45009.51,60707,31453.38,54765.49,46010.03,50284.07,41706.38,42222.92,36914.75,0,5817.72,10833.78
g,302,302,14,866.117676,7.675,0.838757,,(R)-Methylmalonyl-CoA,C01213,C25H40N7O19P3S,-1,7.258339,866.117676,48052.66,46158.32,50553.97,38219.32,29519.29,83515.83,75883.63,65000.36,48836.96,60791.78,41371.38,66490.01,72218.05,58258.14,45009.51,60707,31453.38,54765.49,46010.03,50284.07,41706.38,42222.92,36914.75,0,5817.72,10833.78
g,303,303,14,866.117676,7.675,0.838757,,Succinyl-CoA,C00091,C25H40N7O19P3S,-1,7.258339,866.117676,48052.66,46158.32,50553.97,38219.32,29519.29,83515.83,75883.63,65000.36,48836.96,60791.78,41371.38,66490.01,72218.05,58258.14,45009.51,60707,31453.38,54765.49,46010.03,50284.07,41706.38,42222.92,36914.75,0,5817.72,10833.78
g,304,304,9,862.157043,6.571,0.840163,,trans-Hex-2-enoyl-CoA,C05271,C27H44N7O17P3S,-1,9.769414,862.157043,10749.65,5803.14,10056.79,8204.38,14759.2,9851.98,5026.53,5446.16,11092.58,13603.45,10949.22,33405.36,29335.57,21300.36,32231.83,48944.32,32622.46,43543.28,35149.02,38111.47,42402.97,52886.27,40036.79,35814.14,27509.12,26618.84
g,306,306,13,808.119019,4.246,0.835884,,Acetyl-CoA,C00024,C23H38N7O17P3S,-1,0.60422,808.119019,41527.92,40780.96,74438.44,39940.6,65934.5,39651.84,52755.09,56501.96,56470.75,44678.61,63651.77,67316.5,58302.55,44516.48,61284.24,39839.66,60888.3,45666.32,46808.55,43586.93,34761.09,38115.12,47435.78,23517.26,22533.85,22314.95
g,307,307,18,766.108032,4.677,0.840032,,CoA,C00010,C21H36N7O16P3S,-1,0.079669,766.108032,667583.62,602259.69,690897.06,567997.12,997247.94,841561.75,758459.25,486291.91,782582.56,996091.88,786436.44,547442.56,534748.25,528587.44,641861.56,812864.56,776977.81,51273.5,64707.66,63328.29,175413.45,294994,181361.64,60281.65,22721.45,24300.53
g,308,308,22,744.076843,7.508,0.839807,,NADPH,C00005,C21H30N7O17P3,-1,9.433134,744.076843,341037.12,338648.81,416841.09,366120.25,450562.75,233545.69,200610.19,226903.55,283053.88,312304.25,246193.42,326980.5,249007.61,312755.59,444909.34,406442.69,331095.47,342938.94,331106.94,301300.84,335287.62,400315.12,310425.56,212942.62,231096.11,260836.97
